Zip Code,Location,City,Population,Avg.Income/H/hold,NationalRank
30708,"34.935658, -84.686952",Cisco ,465,30568,22895
30669,"33.676084, -83.105207",UnionPoint ,3434,30559,22914
31764,"31.985935, -84.082309",Leslie ,1547,30551,22923
31033,"33.084568, -83.428265",Haddock ,2009,30536,22941
31503,"31.201889, -82.405117",Waycross ,21038,30507,22985
31560,"31.504736, -82.038331",Screven ,2333,30482,23016
31709,"32.066892, -84.204849",Americus ,27000,30459,23041
30336,"33.735413, -84.568933",Atlanta ,238,30417,23122
30624,"34.186246, -83.044149",Bowman ,2518,30294,23277
31513,"31.778649, -82.343423",Baxley ,15473,30255,23317
31044,"32.654992, -83.384795",Jeffersonville ,3509,30191,23405
31082,"32.996417, -82.903117",Sandersville ,10533,30173,23430
31027,"32.572102, -82.797343",EastDublin ,9897,30027,23581
31557,"31.366728, -82.078336",Patterson ,2822,30020,23588
30728,"34.684875, -85.225790",LaFayette ,17279,30006,23596
31744,"31.332594, -83.897688",Doerun ,3008,30000,23630
31301,"31.756512, -81.597739",Allenhurst ,4396,29929,23714
30454,"32.434481, -82.738361",Rockledge ,358,29922,23722
31784,"31.267637, -84.055312",SaleCity ,774,29911,23733
31637,"31.292447, -83.440347",Lenox ,2781,29904,23736
31017,"32.621094, -83.232220",Danville ,2082,29865,23781
31090,"32.793582, -83.048446",Toomsboro ,1050,29861,23786
31305,"31.410334, -81.337555",Darien ,5171,29824,23813
31519,"31.684279, -82.879356",Broxton ,3444,29813,23827
30741,"34.950593, -85.286081",Rossville ,28150,29784,23848
30747,"34.504242, -85.298157",Summerville ,16100,29775,23858
31645,"31.060719, -83.218688",RayCity ,3373,29694,23927
31795,"31.438148, -83.648738",TyTy ,1804,29674,23959
30285,"32.997525, -84.252465",TheRock ,606,29659,23970
31516,"31.317041, -82.255539",Blackshear ,11974,29659,23973
31016,"32.836383, -84.126339",Culloden ,1517,29648,23982
31533,"31.544218, -82.820095",Douglas ,16910,29537,24109
30467,"32.753793, -81.603534",Sylvania ,13363,29384,24246
31083,"32.034045, -82.825915",Scotland ,176,29375,24249
30577,"34.552419, -83.325929",Toccoa ,21557,29331,24324
31092,"32.089769, -83.783946",Vienna ,5680,29293,24363
30810,"33.236858, -82.581867",Gibson ,1833,29226,24437
31512,"31.536388, -83.009988",Ambrose ,2396,29201,24458
31775,"31.334299, -83.598864",Omega ,2977,29181,24473
31007,"32.188594, -83.927243",Byromville ,945,29125,24546
30450,"32.562333, -81.923046",Portal ,2829,29083,24584
31042,"32.746647, -83.162113",Irwinton ,2136,29063,24596
31408,"32.126446, -81.201570",Savannah ,11131,29034,24636
31542,"31.161850, -82.125709",Hoboken ,2285,29009,24654
31627,"31.061038, -83.363574",Cecil ,301,28958,24708
31217,"32.843569, -83.500661",Macon ,19121,28932,24728
31563,"31.647323, -82.217418",Surrency ,1275,28924,24738
30474,"32.231397, -82.414210",Vidalia ,15284,28902,24760
31089,"32.858960, -82.864498",Tennille ,4713,28897,24764
31906,"32.467811, -84.950173",Columbus ,24380,28865,24800
31631,"30.707335, -82.585744",Fargo ,666,28828,24833
30445,"32.192283, -82.601120",MountVernon ,3307,28792,24853
30545,"34.762510, -83.762194",Helen ,783,28750,24874
31551,"31.488073, -82.266914",Mershon ,943,28750,24878
30581,"34.795735, -83.422809",Wiley ,26,28750,24961
30337,"33.640147, -84.450081",Atlanta ,16084,28676,25001
30318,"33.791431, -84.446141",Atlanta ,53229,28589,25087
31079,"31.942896, -83.458767",Rochelle ,2770,28586,25090
31404,"32.051700, -81.049327",Savannah ,32249,28564,25113
31824,"32.058346, -84.532732",Preston ,1698,28542,25136
30673,"33.730910, -82.705018",Washington ,8085,28431,25260
30452,"32.321523, -81.892777",Register ,1392,28421,25268
31816,"32.873060, -84.593482",Manchester ,5819,28418,25269
31067,"32.874903, -82.938897",Oconee ,256,28333,25348
30816,"33.156879, -82.167067",Keysville ,1930,28312,25367
30425,"32.697684, -82.101590",Garfield ,1386,28295,25382
30456,"32.973657, -81.817412",Sardis ,2044,28260,25411
31778,"30.987629, -83.722170",Pavo ,2632,28173,25489
30317,"33.748355, -84.317585",Atlanta ,13981,28167,25494
31078,"32.694909, -84.074538",Roberta ,3658,28162,25496
30354,"33.660361, -84.386502",Atlanta ,17927,28155,25504
31204,"32.850552, -83.678765",Macon ,33314,28118,25572
30148,"34.489600, -84.242254",MarbleHill ,437,28047,25633
31642,"31.267085, -82.877970",Pearson ,4315,28013,25669
30453,"32.026236, -82.111225",Reidsville ,8394,27938,25742
31030,"32.572545, -83.896941",FortValley ,17431,27922,25750
30635,"34.105769, -82.793249",Elberton ,16658,27911,25779
30426,"33.043311, -81.652200",Girard ,1281,27903,25784
31537,"30.882250, -82.116331",Folkston ,8804,27816,25854
30660,"33.788430, -82.947388",Rayle ,1082,27813,25871
31051,"32.149424, -83.889079",Lilly ,234,27778,25890
31023,"32.183213, -83.199454",Eastman ,13541,27773,25895
31647,"31.219889, -83.429159",Sparks ,3061,27723,25930
31553,"31.181719, -81.972123",Nahunta ,3929,27696,25955
31620,"31.120637, -83.439484",Adel ,9828,27658,25984
31768,"31.152029, -83.769476",Moultrie ,32226,27653,25992
30598,"34.602721, -83.360394",ToccoaFalls ,630,27625,26017
30830,"33.082787, -81.983910",Waynesboro ,13164,27610,26037
30311,"33.723262, -84.475994",Atlanta ,35230,27512,26087
31539,"31.832254, -82.589772",Hazlehurst ,12038,27451,26186
30820,"33.234390, -82.731429",Mitchell ,1117,27450,26189
31765,"31.087551, -84.027154",Meigs ,2520,27440,26199
31001,"31.976256, -83.339665",Abbeville ,3870,27429,26210
31554,"31.493365, -82.630408",Nicholls ,5719,27422,26217
31054,"32.875982, -83.197825",McIntyre ,1399,27419,26223
31649,"30.963885, -82.995472",Stockton ,885,27417,26229
31705,"31.516890, -84.042942",Albany ,38667,27404,26235
31750,"31.732984, -83.226035",Fitzgerald ,18604,27392,26245
30668,"33.916633, -82.692770",Tignall ,2082,27389,26248
30904,"33.478289, -82.014102",Augusta ,28323,27372,26268
30828,"33.379625, -82.659923",Warrenton ,4460,27324,26313
31635,"31.095236, -83.049507",Lakeland ,4825,27323,26315
31774,"31.558198, -83.269657",Ocilla ,6871,27310,26325
30821,"33.490433, -82.742067",Norwood ,999,27303,26335
30667,"33.776347, -83.145330",Stephens ,857,27292,26348
31622,"31.381419, -83.216149",Alapaha ,1814,27288,26351
31722,"31.068752, -83.623111",Berlin ,432,27188,26446
30420,"32.301322, -82.116733",Cobbtown ,2010,27100,26527
31738,"31.008151, -83.879726",Coolidge ,1896,26975,26666
31747,"31.178005, -83.592655",Ellenton ,177,26875,26785
31510,"31.549622, -82.439643",Alma ,8878,26804,26829
31055,"31.974188, -82.867284",McRae ,4714,26738,26890
30559,"34.953268, -84.271290",MineralBluff ,3505,26716,26911
31035,"32.854123, -82.707822",Harrison ,1473,26696,26928
31015,"31.942915, -83.778590",Cordele ,20769,26678,26941
31648,"30.673982, -82.998657",Statenville ,933,26633,26995
31827,"32.680951, -84.500492",Talbotton ,2289,26500,27111
30473,"32.022360, -82.482447",Uvalda ,2869,26462,27145
31323,"31.630534, -81.503467",Riceboro ,1659,26296,27262
30446,"32.546868, -81.491579",Newington ,1315,26277,27272
31057,"32.435000, -83.936561",Marshallville ,2079,26250,27286
30413,"32.896845, -82.520365",Bartow ,1798,26250,27365
30520,"34.340050, -83.082621",Canon ,3702,26205,27387
31624,"31.306552, -82.717240",Axson ,1233,26181,27399
31650,"31.395823, -83.025392",Willacoochee ,3002,26165,27416
31803,"32.304765, -84.521477",BuenaVista ,4706,26046,27499
30441,"32.797066, -82.224962",Midville ,2034,25865,27627
31501,"31.221228, -82.346150",Waycross ,14632,25700,27747
30438,"32.165611, -82.020521",Manassas ,222,25694,27752
30417,"32.171667, -81.902366",Claxton ,9477,25672,27765
31076,"32.538870, -84.110141",Reynolds ,3221,25640,27780
31825,"32.145867, -84.663560",Richland ,2445,25568,27839
30411,"32.137960, -82.804569",Alamo ,3589,25532,27859
31206,"32.800857, -83.693698",Macon ,31283,25494,27891
31060,"31.986810, -83.038507",Milan ,2189,25433,27925
30471,"32.542938, -82.188090",TwinCity ,4364,25382,27975
31081,"32.419232, -84.282732",Rupert ,185,25357,27999
31634,"31.075201, -82.743840",Homerville ,5508,25214,28083
31643,"30.770770, -83.558433",Quitman ,9387,25132,28140
30401,"32.611263, -82.351410",Swainsboro ,12624,25082,28168
31068,"32.334804, -84.101501",Oglethorpe ,4311,25070,28174
31779,"31.112560, -84.180066",Pelham ,9344,25066,28175
30436,"32.154997, -82.293073",Lyons ,11400,25043,28189
31549,"31.928200, -82.714917",LumberCity ,1989,25000,28240
31532,"31.723144, -82.741154",Denton ,605,25000,28243
30421,"32.185377, -82.110912",Collins ,2684,24961,28257
30434,"33.024570, -82.366309",Louisville ,6232,24922,28277
30833,"33.191250, -82.353132",Wrens ,4024,24865,28298
30457,"32.399855, -82.560887",Soperton ,6368,24808,28327
30605,"33.906083, -83.320118",Athens ,38777,24773,28341
31037,"32.121561, -82.936280",Helena ,3358,24741,28360
30448,"32.493664, -82.370427",Nunez ,59,24688,28382
31814,"32.171453, -84.835531",Louvale ,352,24659,28402
30439,"32.425049, -82.060232",Metter ,8849,24659,28404
30310,"33.726586, -84.425995",Atlanta ,33598,24604,28439
30631,"33.558262, -82.866495",Crawfordville ,2154,24545,28480
31626,"30.766410, -83.803108",Boston ,3169,24534,28486
30562,"34.920680, -83.386035",MountainCity ,829,24531,28488
30079,"33.791739, -84.260747",Scottdale ,2563,24500,28508
31006,"32.581861, -84.251849",Butler ,4933,24498,28513
31730,"31.210871, -84.280647",Camilla ,9964,24474,28526
30458,"32.399676, -81.828266",Statesboro ,32135,24343,28605
31821,"32.116128, -84.963449",Omaha ,364,24306,28624
31096,"32.715097, -82.697916",Wrightsville ,6780,24292,28636
30555,"34.971953, -84.416920",McCaysville ,2079,24154,28728
31520,"31.140092, -81.508544",Brunswick ,21796,23898,28860
31712,"31.834992, -83.707348",Arabi ,994,23864,28885
31091,"32.241448, -83.705727",Unadilla ,3870,23750,28971
31638,"30.911809, -83.503744",Morven ,926,23705,29002
30442,"32.794740, -81.997977",Millen ,7767,23617,29029
30429,"32.160670, -81.939957",Hagan ,568,23438,29127
31810,"32.558792, -84.552773",Geneva ,241,23333,29180
31743,"31.895842, -84.006937",DeSoto ,646,23295,29206
31063,"32.288966, -83.963260",Montezuma ,6020,23293,29208
31812,"32.625223, -84.425550",JunctionCity ,574,23125,29279
31629,"30.816844, -83.689394",Dixie ,1059,23125,29288
30423,"32.145577, -81.833854",Daisy ,229,23060,29326
31720,"30.887604, -83.737619",Barwick ,497,23056,29328
30665,"33.532873, -83.072021",Siloam ,359,22898,29407
30303,"33.752717, -84.390679",Atlanta ,3744,22875,29410
30070,"33.574751, -83.897870",Porterdale ,391,22813,29439
31544,"31.840713, -82.963561",Jacksonville ,763,22750,29464
31815,"31.998762, -84.827734",Lumpkin ,2309,22583,29533
30601,"34.001592, -83.344913",Athens ,17727,22383,29622
31714,"31.720230, -83.693798",Ashburn ,6938,22380,29626
31601,"30.758721, -83.319023",Valdosta ,29794,22347,29646
30428,"32.224545, -82.715129",Glenwood ,2470,22208,29702
31087,"33.273053, -83.009714",Sparta ,9936,22174,29719
30464,"32.416863, -82.229256",Stillmore ,231,22143,29730
31903,"32.416493, -84.953350",Columbus ,22588,21892,29849
31002,"32.553124, -82.556965",Adrian ,2403,21508,30030
31041,"32.371389, -84.182173",Ideal ,939,21477,30043
30177,"34.414116, -84.378641",Tate ,338,21250,30124
30807,"33.459331, -82.651509",Camak ,174,20938,30243
30822,"32.914251, -81.866753",Perkins ,572,20833,30279
31836,"32.796402, -84.535090",Woodland ,1124,20688,30329
30477,"32.862531, -82.400518",Wadley ,3171,20603,30360
30315,"33.702829, -84.382515",Atlanta ,40288,20333,30442
30312,"33.745377, -84.376180",Atlanta ,20221,20094,30506
31701,"31.585193, -84.147284",Albany ,22419,19649,30631
30314,"33.757777, -84.431884",Atlanta ,27181,19438,30676
31049,"32.712428, -82.511369",Kite ,1400,19432,30680
31772,"31.724154, -83.961027",Oakfield ,586,18917,30784
31415,"32.078235, -81.127510",Savannah ,12743,18830,30803
30664,"33.560817, -82.804227",Sharon ,38,18750,30831
31401,"32.078364, -81.089063",Savannah ,21616,18100,30941
31901,"32.466505, -84.980285",Columbus ,8072,17817,30984
30447,"32.503028, -82.487607",Norristown ,60,14583,31439
30901,"33.437220, -81.956157",Augusta ,21926,14232,31475
31201,"32.804382, -83.617554",Macon ,10845,13944,31500
30313,"33.764661, -84.397547",Atlanta ,11035,13084,31569
31327,"31.429329, -81.277136",SapeloIsland ,80,7125,31850
30322,"33.795590, -84.327312",Atlanta ,1724,0,31914
30602,"33.948819, -83.374636",Athens ,1400,0,31915
31314,"31.868804, -81.602501",FortStewart ,3820,0,31924
31699,"30.965588, -83.193137",MoodyAFB ,3160,0,31926
31034,"33.036983, -83.217734",Hardwick ,4806,0,31927
