Zip Code,Location,City,Population,Avg.Income/H/hold,NationalRank
30252,"33.473512, -84.057165",Mcdonough ,18602,66172,1972
30305,"33.836781, -84.391308",Atlanta ,21380,65642,2061
31808,"32.631009, -85.012245",Fortson ,4773,65000,2151
30265,"33.423266, -84.713083",Newnan ,18138,64194,2239
30127,"33.876306, -84.694402",PowderSprings ,47151,64084,2253
30094,"33.613639, -84.053557",Conyers ,26512,63910,2282
30342,"33.884350, -84.374964",Atlanta ,25807,63675,2318
30345,"33.852060, -84.281753",Atlanta ,22791,62628,2444
30188,"34.123528, -84.457649",Woodstock ,36613,61920,2581
30039,"33.815557, -84.017594",Snellville ,12906,61539,2647
31005,"32.544336, -83.601768",Bonaire ,9559,61066,2756
30319,"33.877450, -84.336316",Atlanta ,36783,61017,2766
31522,"31.256612, -81.342084",SaintSimonsIsland ,14697,61005,2768
30040,"34.256118, -84.177644",Cumming ,42444,60920,2787
31829,"32.563074, -84.731631",Upatoi ,836,60670,2855
30144,"34.036864, -84.591009",Kennesaw ,38874,60609,2868
30044,"33.922090, -84.065651",Lawrenceville ,66456,60427,2910
30115,"34.200482, -84.400406",Canton ,20076,60378,2929
31410,"32.009621, -80.981331",Savannah ,22148,60182,2984
30306,"33.788547, -84.349985",Atlanta ,21199,59720,3069
30092,"33.972386, -84.231986",Norcross ,35145,59656,3080
31039,"32.592505, -84.391001",Howard ,58,59583,3096
31324,"31.858019, -81.272424",RichmondHill ,14508,59190,3157
30102,"34.101417, -84.645065",Acworth ,33051,58977,3192
30205,"33.269144, -84.455844",Brooks ,2742,58917,3201
30135,"33.678395, -84.747167",Douglasville ,43485,58113,3352
31527,"31.079580, -81.455128",JekyllIsland ,938,58056,3371
30052,"33.813056, -83.888235",Loganville ,34967,57337,3518
31220,"32.871225, -83.809485",Macon ,11279,57013,3615
31210,"32.913878, -83.737602",Macon ,27939,56657,3716
30677,"33.805196, -83.384079",Watkinsville ,13651,56529,3747
30307,"33.771079, -84.333600",Atlanta ,16646,56496,3754
30253,"33.448828, -84.191401",Mcdonough ,26597,56292,3798
30187,"33.614246, -84.870807",Winston ,6090,56250,3803
30013,"33.642551, -83.971717",Conyers ,18659,55904,3890
30625,"33.520285, -83.333534",Buckhead ,1834,55833,3914
31804,"32.658500, -84.892249",Cataula ,4439,55588,3979
30339,"33.872067, -84.462985",Atlanta ,15782,55556,3984
30548,"34.089861, -83.763450",Hoschton ,6014,55288,4068
30096,"33.974292, -84.145426",Duluth ,52493,55208,4094
30038,"33.666460, -84.139855",Lithonia ,23693,55010,4143
31047,"32.472179, -83.607077",Kathleen ,5659,54963,4162
30324,"33.818405, -84.358175",Atlanta ,20317,54953,4163
30281,"33.562809, -84.193574",Stockbridge ,49093,54656,4221
30907,"33.518572, -82.093052",Augusta ,45543,54222,4343
30184,"34.240647, -84.720424",White ,4890,54070,4398
30084,"33.859843, -84.215176",Tucker ,32411,53814,4456
30294,"33.639644, -84.267101",Ellenwood ,27391,53621,4506
30058,"33.758108, -84.086998",Lithonia ,58406,53312,4595
30248,"33.356358, -84.108700",LocustGrove ,11151,53278,4605
30542,"34.174733, -83.898013",FloweryBranch ,21270,53008,4696
30292,"33.170184, -84.387784",Williamson ,4495,52805,4750
30350,"33.977483, -84.332407",Atlanta ,31057,52638,4807
30157,"33.884708, -84.871928",Dallas ,28005,52518,4842
