name,pop2022,pop2020,growth,density,aland_sqmi
Tallapoosa,3239,3227,0.0037,323,10.0280
Nicholls,3217,3147,0.0222,1742,1.8470
Tybee Island,3138,3114,0.0077,1075,2.9190
Grantville,3115,3103,0.0039,538,5.7940
Hannahs Mill,3085,3121,-0.0115,713,4.3260
Chattahoochee Hills,3064,2950,0.0386,53,58.0330
Lake City,3020,2952,0.0230,1635,1.8470
Cuthbert,2997,3143,-0.0465,984,3.0460
Unadilla,2982,3118,-0.0436,493,6.0430
Montezuma,2965,3047,-0.0269,650,4.5610
Millen,2936,2966,-0.0101,820,3.5790
Hoschton,2924,2666,0.0968,605,4.8310
Watkinsville,2908,2896,0.0041,891,3.2650
Statham,2893,2813,0.0284,713,4.0570
Chickamauga,2881,2917,-0.0123,1018,2.8310
Donalsonville,2869,2833,0.0127,722,3.9710
Putney,2863,2869,-0.0021,130,22.0210
Raoul,2851,2803,0.0171,1423,2.0040
Soperton,2843,2889,-0.0159,646,4.4020
Lula,2834,2822,0.0043,669,4.2380
Lithonia,2810,2662,0.0556,3028,0.9280
Bloomingdale,2806,2790,0.0057,204,13.7740
Ball Ground,2786,2560,0.0883,437,6.3700
Lakeland,2777,2875,-0.0341,900,3.0870
Reed Creek,2748,2724,0.0088,115,23.8430
Vienna,2712,2928,-0.0738,496,5.4660
Springfield,2673,2703,-0.0111,868,3.0780
Royston,2663,2649,0.0053,781,3.4080
Lakeview Estates,2652,2660,-0.0030,5220,0.5080
Abbeville,2641,2685,-0.0164,864,3.0550
Pembroke,2577,2513,0.0255,338,7.6270
Claxton,2574,2602,-0.0108,1481,1.7380
Sylvania,2570,2634,-0.0243,515,4.9940
Thunderbolt,2534,2556,-0.0086,1870,1.3550
Monticello,2517,2541,-0.0094,605,4.1610
East Dublin,2502,2492,0.0040,593,4.2180
Kings Bay Base,2439,2329,0.0472,889,2.7430
Guyton,2409,2289,0.0524,751,3.2070
Gumlog,2400,2358,0.0178,179,13.4380
Louisville,2359,2381,-0.0092,654,3.6070
Indian Springs,2356,2336,0.0086,912,2.5830
Isle of Hope,2349,2357,-0.0034,1198,1.9610
Oxford,2342,2308,0.0147,1088,2.1530
Homerville,2322,2344,-0.0094,665,3.4930
Henderson,2284,2178,0.0487,1309,1.7450
Varnell,2267,2179,0.0404,595,3.8110
Webster County unified government,2258,2348,-0.0383,11,209.3570
Wrens,2223,2217,0.0027,710,3.1330
Deenwood,2219,2207,0.0054,661,3.3550
Bowdon,2185,2161,0.0111,643,3.3990
Georgetown-Quitman County unified government,2179,2235,-0.0251,14,151.2370
Trenton,2173,2195,-0.0100,676,3.2160
Berkeley Lake,2150,2054,0.0467,1231,1.7470
Midway,2145,2141,0.0019,333,6.4430
Lavonia,2141,2143,-0.0009,472,4.5340
Demorest,2062,2022,0.0198,919,2.2430
Morgan,2041,1741,0.1723,1558,1.3100
Sparks,2041,2043,-0.0010,515,3.9650
Reidsville,2029,2515,-0.1932,268,7.5700
Colquitt,2003,2001,0.0010,243,8.2320
Clayton,1995,2003,-0.0040,589,3.3870
Trion,1986,1960,0.0133,518,3.8340
Clarkesville,1947,1911,0.0188,792,2.4580
Pendergrass,1946,1692,0.1501,641,3.0370
Shannon,1931,1919,0.0063,388,4.9800
Ellijay,1910,1862,0.0258,539,3.5440
Arcade,1904,1884,0.0106,207,9.1860
Mount Vernon,1898,1990,-0.0462,473,4.0150
Maysville,1881,1867,0.0075,409,4.5970
Porterdale,1873,1799,0.0411,787,2.3790
Butler,1863,1881,-0.0096,573,3.2490
Nicholson,1830,1808,0.0122,460,3.9750
Hamilton,1812,1680,0.0786,531,3.4140
Davisboro,1796,1832,-0.0197,589,3.0510
Mount Zion,1780,1766,0.0079,185,9.6110
Brooklet,1766,1704,0.0364,536,3.2940
Pearson,1761,1821,-0.0329,525,3.3520
Gordon,1737,1783,-0.0258,323,5.3820
Warrenton,1706,1744,-0.0218,895,1.9070
Unionville,1656,1688,-0.0190,2205,0.7510
Lookout Mountain,1649,1641,0.0049,620,2.6590
Twin City,1622,1642,-0.0122,454,3.5740
Union Point,1593,1597,-0.0025,831,1.9170
Comer,1590,1512,0.0516,491,3.2370
East Griffin,1583,1561,0.0141,1105,1.4330
Ludowici,1568,1590,-0.0138,674,2.3270
Wadley,1559,1643,-0.0511,342,4.5560
Ellaville,1551,1595,-0.0276,491,3.1600
Sunnyside,1506,1472,0.0231,1061,1.4190
Aragon,1478,1440,0.0264,1358,1.0880
Buena Vista,1467,1585,-0.0744,456,3.2190
Lincolnton,1462,1480,-0.0122,416,3.5140
Tennille,1455,1469,-0.0095,822,1.7710
Mount Airy,1413,1391,0.0158,584,2.4190
Emerson,1403,1415,-0.0085,163,8.6330
Moody AFB,1391,1307,0.0643,343,4.0540
Bogart,1384,1326,0.0437,552,2.5050
Remerton,1376,1334,0.0315,6745,0.2040
Darien,1356,1460,-0.0712,64,21.1650
Richland,1350,1370,-0.0146,422,3.2000
Sparta,1349,1357,-0.0059,742,1.8170
Russell,1346,1322,0.0182,1128,1.1930
Omega,1338,1318,0.0152,750,1.7830
Walnut Grove,1320,1322,-0.0015,465,2.8410
Homer,1288,1264,0.0190,134,9.6330
Resaca,1262,1142,0.1051,457,2.7640
Talahi Island,1247,1247,0,969,1.2870
Blue Ridge,1245,1253,-0.0064,465,2.6770
Zebulon,1235,1225,0.0082,257,4.8100
Dutch Island,1234,1238,-0.0032,502,2.4600
Winterville,1217,1201,0.0133,465,2.6200
Willacoochee,1210,1240,-0.0242,317,3.8200
Pine Mountain,1198,1216,-0.0148,392,3.0560
Franklin Springs,1195,1155,0.0346,548,2.1790
Boston,1185,1207,-0.0182,526,2.2530
Edison,1170,1230,-0.0488,500,2.3400
Cave Spring,1168,1174,-0.0051,319,3.6670
McCaysville,1167,1149,0.0157,775,1.5050
Rochelle,1165,1167,-0.0017,611,1.9070
Arlington,1155,1209,-0.0447,289,3.9970
Young Harris,1138,1098,0.0364,1195,0.9520
Nelson,1111,1145,-0.0297,729,1.5240
