Zip Code,Population,,,,,
31063,"4,954",,,,,
31068,"4,950",,,,,
31645,"4,904",,,,,
30629,"4,817",,,,,
30559,"4,751",,,,,
30295,"4,750",,,,,
30363,"4,737",,,,,
30565,"4,731",,,,,
30725,"4,731",,,,,
30582,"4,706",,,,,
30521,"4,683",,,,,
31642,"4,676",,,,,
31566,"4,638",,,,,
30185,"4,578",,,,,
30808,"4,561",,,,,
31543,"4,549",,,,,
30560,"4,544",,,,,
31006,"4,523",,,,,
31553,"4,520",,,,,
30471,"4,490",,,,,
31091,"4,347",,,,,
31001,"4,323",,,,,
31773,"4,245",,,,,
39827,"4,175",,,,,
30750,"4,148",,,,,
30139,"4,147",,,,,
30222,"4,101",,,,,
30571,"4,069",,,,,
30257,"4,024",,,,,
31089,"4,021",,,,,
31650,"3,999",,,,,
31815,"3,949",,,,,
30828,"3,927",,,,,
31301,"3,906",,,,,
30833,"3,888",,,,,
30079,"3,846",,,,,
30511,"3,831",,,,,
31098,"3,809",,,,,
30445,"3,797",,,,,
30055,"3,788",,,,,
30206,"3,763",,,,,
30711,"3,757",,,,,
30527,"3,701",,,,,
30564,"3,696",,,,,
31046,"3,694",,,,,
30259,"3,674",,,,,
31037,"3,584",,,,,
31647,"3,571",,,,,
30567,"3,565",,,,,
39897,"3,534",,,,,
30738,"3,509",,,,,
30663,"3,463",,,,,
31519,"3,462",,,,,
31328,"3,419",,,,,
30734,"3,418",,,,,
31557,"3,316",,,,,
31626,"3,274",,,,,
31002,"3,267",,,,,
30547,"3,266",,,,,
31078,"3,203",,,,,
31606,"3,196",,,,,
30182,"3,178",,,,,
30258,"3,165",,,,,
30332,"3,162",,,,,
30205,"3,147",,,,,
30602,"3,127",,,,,
31775,"3,121",,,,,
30576,"3,104",,,,,
31801,"3,068",,,,,
30124,"3,048",,,,,
30648,"3,028",,,,,
30178,"3,024",,,,,
30624,"3,016",,,,,
31044 ,"2,986",,,,,
30170,"2,986",,,,,
30669,"2,959",,,,,
31831,"2,951",,,,,
30421,"2,945",,,,,
31018,"2,906",,,,,
30171,"2,893",,,,,
31076,"2,867",,,,,
31075,"2,834",,,,,
30256,"2,819",,,,,
31716,"2,817",,,,,
31560,"2,806",,,,,
30428,"2,804",,,,,
30538,"2,799",,,,,
31805,"2,790",,,,,
30477,"2,779",,,,,
31749,"2,764",,,,,
31744,"2,763",,,,,
31637,"2,726",,,,,
31079,"2,705",,,,,
31012,"2,703",,,,,
30731,"2,655",,,,,
31542,"2,645",,,,,
30516,"2,634",,,,,
31019,"2,622",,,,,
31549,"2,590",,,,,
30625,"2,582",,,,,
31765,"2,577",,,,,
31562,"2,540",,,,,
30056,"2,518",,,,,
30473,"2,504",,,,,
30627,"2,490",,,,,
31807,"2,489",,,,,
30293,"2,482",,,,,
31825,"2,471",,,,,
30555,"2,443",,,,,
39854,"2,433",,,,,
31555,"2,428",,,,,
30630,"2,407",,,,,
30805,"2,397",,,,,
30609,"2,394",,,,,
31830,"2,354",,,,,
31303,"2,348",,,,,
30322,"2,308",,,,,
31033,"2,287",,,,,
31778,"2,262",,,,,
31565,"2,236",,,,,
31738,"2,232",,,,,
39866,"2,201",,,,,
31790,"2,181",,,,,
30733,"2,171",,,,,
31827,"2,152",,,,,
30634,"2,148",,,,,
30456,"2,146",,,,,
30218,"2,134",,,,,
30757,"2,131",,,,,
30118,"2,118",,,,,
30216,"2,112",,,,,
39813,"2,109",,,,,
39834,"2,106",,,,,
30810,"2,096",,,,,
31781,"2,084",,,,,
31826,"2,065",,,,,
30137,"2,060",,,,,
31060,"2,056",,,,,
31057,"2,048",,,,,
31622,"2,021",,,,,
30816,"2,018",,,,,
39870,"1,994",,,,,
31780,"1,990",,,,,
30149,"1,966",,,,,
30105,"1,947",,,,,
30730,"1,902",,,,,
30450,"1,902",,,,,
30251,"1,902",,,,,
39846,"1,882",,,,,
30641,"1,859",,,,,
31764,"1,844",,,,,
30668,"1,836",,,,,
31016,"1,832",,,,,
30410,"1,821",,,,,
31795,"1,808",,,,,
31641,"1,805",,,,,
30441,"1,803",,,,,
31058,"1,798",,,,,
31049,"1,769",,,,,
30177,"1,759",,,,,
39815,"1,754",,,,,
39851,"1,730",,,,,
31077,"1,723",,,,,
31512 ,"1,681",,,,,
31097,"1,681",,,,,
30552,"1,640",,,,,
31022,"1,630",,,,,
31070,"1,590",,,,,
30631,"1,585",,,,,
31017,"1,579",,,,,
31638,"1,573",,,,,
30413,"1,547",,,,,
30619,"1,543",,,,,
30537,"1,539",,,,,
30568,"1,531",,,,,
30660,"1,515",,,,,
30575,"1,512",,,,,
31824,"1,507",,,,,
39886,"1,492",,,,,
30234,"1,480",,,,,
30452,"1,477",,,,,
30446,"1,466",,,,,
31796,"1,462",,,,,
31042,"1,445",,,,,
31733,"1,435",,,,,
30522,"1,430",,,,,
31787,"1,418",,,,,
30678,"1,390",,,,,
31020,"1,382",,,,,
31314,"1,378",,,,,
30823,"1,349",,,,,
31625,"1,335",,,,,
31624,"1,329",,,,,
30541,"1,326",,,,,
30425,"1,316",,,,,
39825,"1,314",,,,,
31009,"1,312",,,,,
31025,"1,312",,,,,
31323,"1,295",,,,,
31054,"1,294",,,,,
30420,"1,278",,,,,
31307,"1,275",,,,,
31066,"1,257",,,,,
31090,"1,256",,,,,
31829,"1,251",,,,,
31547,"1,219",,,,,
31065,"1,210",,,,,
31783,"1,208",,,,,
31563,"1,183",,,,,
31649,"1,166",,,,,
31035,"1,130",,,,,
31527,"1,116",,,,,
30562,"1,113",,,,,
31712,"1,109",,,,,
39859,"1,084",,,,,
31207,"1,074",,,,,
31629,"1,070",,,,,
30820,"1,068",,,,,
31518,"1,064",,,,,
31072,"1,060",,,,,
31756,"1,048",,,,,
30803,"1,039",,,,,
31085,"1,035",,,,,
31071,"1,035",,,,,
39862,"1,017",,,,,
31836,993,,,,,
31789,968,,,,,
31552,965,,,,,
30545,949,,,,,
31007,941,,,,,
39861,932,,,,,
31567,921,,,,,
31784,892,,,,,
31041,888,,,,,
31551,884,,,,,
30336,876,,,,,
39824,873,,,,,
31409,873,,,,,
31050,868,,,,,
30667,851,,,,,
31094,844,,,,,
30572,844,,,,,
30426,831,,,,,
30821,825,,,,,
31038,819,,,,,
31648,816,,,,,
31798,812,,,,,
30072,806,,,,,
31698,770,,,,,
31550,762,,,,,
30746,762,,,,,
31011,753,,,,,
31711,751,,,,,
31699,696,,,,,
31823,690,,,,,
30285,682,,,,,
31812,682,,,,,
39841,671,,,,,
30454,670,,,,,
30250,667,,,,,
31630,656,,,,,
30148,637,,,,,
30903,620,,,,,
31309,614,,,,,
30455,603,,,,,
31544,597,,,,,
31735,581,,,,,
31532,568,,,,,
31568,529,,,,,
31772,522,,,,,
39826,507,,,,,
31631,493,,,,,
31722,492,,,,,
31062,475,,,,,
30818,468,,,,,
39877,446,,,,,
30070,444,,,,,
30822,434,,,,,
31083,433,,,,,
39867,415,,,,,
30812,403,,,,,
31623,380,,,,,
31318,369,,,,,
30423,350,,,,,
31743,326,,,,,
30470,305,,,,,
39836,301,,,,,
31720,285,,,,,
31067,266,,,,,
31627,229,,,,,
31821,227,,,,,
31832,222,,,,,
30573,218,,,,,
31051,209,,,,,
31810,206,,,,,
31747,200,,,,,
30807,199,,,,,
30429,193,,,,,
30464,187,,,,,
30708,172,,,,,
30751,172,,,,,
30912,171,,,,,
30581,160,,,,,
31556,130,,,,,
30665,115,,,,,
30449,111,,,,,
31561,102,,,,,
30275,95,,,,,
31003,82,,,,,
30284,81,,,,,
30448,81,,,,,
39885,77,,,,,
30412,73,,,,,
31045,62,,,,,
30756,58,,,,,
30438,57,,,,,
31814,55,,,,,
31327,54,,,,,
30623,48,,,,,
31084,45,,,,,
31304,41,,,,,
30289,34,,,,,
30451,27,,,,,
30664,11,,,,,
31081,11,,,,,
