RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-08-31,2022-10-31,2023-07-31
394421,127,"Brownsville, TX",Msa,TX,2022-07-31,1.4,2.1,5.6
394746,128,"Killeen, TX",Msa,TX,2022-07-31,1.0,1.8,6.5
394439,129,"Canton, OH",Msa,OH,2022-07-31,0.3,0.2,2.6
394372,130,"Beaumont, TX",Msa,TX,2022-07-31,1.1,1.4,1.3
394820,131,"Manchester, NH",Msa,NH,2022-07-31,0.2,0.3,3.2
395048,132,"Salem, OR",Msa,OR,2022-07-31,-0.1,-0.2,3.3
394327,133,"Anchorage, AK",Msa,AK,2022-07-31,1.3,1.5,-0.1
394520,134,"Davenport, IL",Msa,IL,2022-07-31,0.0,-0.7,-1.6
394972,135,"Peoria, IL",Msa,IL,2022-07-31,0.7,0.5,-0.8
394898,136,"Myrtle Beach, SC",Msa,SC,2022-07-31,1.1,1.0,5.2
394875,137,"Montgomery, AL",Msa,AL,2022-07-31,0.4,0.6,1.4
395051,138,"Salisbury, MD",Msa,DE,2022-07-31,0.2,-0.2,1.9
394658,139,"Gulfport, MS",Msa,MS,2022-07-31,0.6,0.8,2.9
395146,140,"Tallahassee, FL",Msa,FL,2022-07-31,0.7,1.0,3.2
395164,141,"Trenton, NJ",Msa,NJ,2022-07-31,0.0,-0.1,1.2
394589,142,"Fayetteville, NC",Msa,NC,2022-07-31,1.1,1.9,4.0
394679,143,"Hickory, NC",Msa,NC,2022-07-31,1.2,1.7,4.8
394697,144,"Huntington, WV",Msa,WV,2022-07-31,0.3,-0.4,-0.7
394576,145,"Eugene, OR",Msa,OR,2022-07-31,0.2,0.4,4.0
395033,146,"Rockford, IL",Msa,IL,2022-07-31,0.5,0.9,2.6
395070,147,"Savannah, GA",Msa,GA,2022-07-31,1.0,1.8,4.7
394332,148,"Ann Arbor, MI",Msa,MI,2022-07-31,0.2,-0.1,0.5
394927,149,"Ocala, FL",Msa,FL,2022-07-31,1.4,2.3,8.2
394732,150,"Kalamazoo, MI",Msa,MI,2022-07-31,0.3,-0.1,2.8
394901,151,"Naples, FL",Msa,FL,2022-07-31,1.0,1.2,5.8
395107,152,"South Bend, IN",Msa,IN,2022-07-31,0.2,0.5,3.8
395109,153,"Spartanburg, SC",Msa,SC,2022-07-31,0.9,1.6,5.8
