RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
394486,72,"Columbia, SC",Msa,SC,192125.0,192221.0,196702.0,204648.0,212562.0,219236.0,220825.0,219903.0,218282.0,216725.0,219268.0,220889.0,224989.0,225942.0,227920.0,231448.0,234944.0,237416.0,234523.0,230074.0,225592.0,222414.0,219741.0,217548.0,217579.0,220889.0,225179.0,229726.0,233699.0,236369.0,239446.0,241766.0,241798.0,241040.0,240746.0,242524.0,244048.0,246025.0,250120.0,255379.0,260912.0,265050.0,269653.0,272619.0,277119.0,280750.0,285750.0,289583.0,293067.0,298400.0,304400.0,310497.0,312663.0,316830.0,318933.0
394648,73,"Greensboro, NC",Msa,NC,194600.0,197500.0,205666.0,217967.0,229300.0,234600.0,239800.0,246431.0,252064.0,253564.0,249933.0,246000.0,245967.0,249933.0,259900.0,269600.0,279600.0,281267.0,279233.0,271233.0,268767.0,265467.0,263467.0,260933.0,258933.0,258933.0,260633.0,261467.0,267500.0,275830.0,285997.0,291663.0,288300.0,281100.0,270430.0,265463.0,266297.0,269267.0,274930.0,280263.0,286097.0,292067.0,298067.0,301900.0,301930.0,301930.0,305930.0,312733.0,321900.0,330567.0,340430.0,346763.0,357460.0,367463.0,368463.0
394304,74,"Akron, OH",Msa,OH,145900.0,144233.0,144933.0,151559.0,159892.0,168192.0,173233.0,172933.0,169600.0,164600.0,159900.0,154900.0,151567.0,151600.0,155800.0,160833.0,167500.0,173300.0,177967.0,177933.0,174133.0,169433.0,163800.0,157600.0,152600.0,152567.0,157567.0,164233.0,171567.0,178267.0,183967.0,187000.0,183667.0,181300.0,174933.0,171381.0,165997.0,167664.0,176217.0,188550.0,199491.0,205825.0,205541.0,202933.0,196600.0,191633.0,186633.0,179933.0,171600.0,169933.0,179933.0,193233.0,196600.0,198600.0,200300.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,359267.0,359933.0,361600.0,361600.0,364316.0,365982.0,369349.0,368300.0,364466.0,360600.0,357233.0,356067.0,356267.0,357963.0,362663.0,367997.0,374333.0,378000.0,379333.0,377540.0,373873.0,372540.0,374333.0,377167.0,377167.0,375833.0,375000.0,371663.0,368330.0,368330.0,374885.0,380552.0,382885.0,381300.0,380600.0,382933.0,384633.0,390713.0,401043.0,417543.0,433493.0,445493.0,455990.0,464657.0,473293.0,484597.0,502233.0,517933.0,529633.0,544300.0,571300.0,602967.0,626633.0,631633.0,621300.0
394798,76,"Little Rock, AR",Msa,AR,169490.0,171958.0,173624.0,176061.0,178251.0,179794.0,179516.0,177943.0,176400.0,176554.0,176585.0,176585.0,175783.0,176400.0,179207.0,183249.0,190344.0,195280.0,198982.0,198982.0,197409.0,195866.0,193553.0,192658.0,191887.0,192658.0,196360.0,200216.0,204844.0,206664.0,207898.0,206355.0,206386.0,207126.0,210381.0,212065.0,213887.0,214429.0,221633.0,227300.0,232267.0,232300.0,233967.0,234000.0,232259.0,229926.0,228259.0,225000.0,223300.0,223300.0,228300.0,233333.0,243333.0,251633.0,257967.0
395134,77,"Stockton, CA",Msa,CA,381317.0,383283.0,381633.0,383300.0,384000.0,390667.0,392333.0,391667.0,388333.0,384833.0,382833.0,381167.0,377967.0,376633.0,379633.0,393000.0,409333.0,422667.0,431000.0,436333.0,438259.0,436426.0,436392.0,437800.0,436870.0,435237.0,435537.0,436830.0,438480.0,445163.0,456600.0,469950.0,476300.0,482627.0,484294.0,490961.0,491333.0,497667.0,497926.0,509592.0,521589.0,544996.0,561663.0,573333.0,573000.0,567967.0,567967.0,575967.0,589000.0,598112.0,616779.0,633779.0,649333.0,649333.0,639333.0
394457,78,"Charleston, SC",Msa,SC,359120.0,361968.0,366535.0,372675.0,377317.0,379712.0,379593.0,375100.0,368211.0,362221.0,358627.0,355634.0,354286.0,357850.0,366834.0,375819.0,380341.0,381839.0,379443.0,373453.0,365936.0,360815.0,359018.0,358449.0,358180.0,359977.0,366535.0,370126.0,377314.0,382435.0,391123.0,396513.0,400107.0,403335.0,405280.0,408808.0,412472.0,420416.0,431088.0,444091.0,461085.0,475156.0,476820.0,463731.0,443857.0,435526.0,431196.0,431858.0,438522.0,456688.0,479830.0,498167.0,511600.0,516567.0,513233.0
395143,79,"Syracuse, NY",Msa,NY,119105.0,120172.0,123294.0,128471.0,131307.0,132608.0,133675.0,134741.0,134767.0,133701.0,132634.0,132322.0,132322.0,133623.0,136510.0,141714.0,146917.0,151743.0,153044.0,151509.0,149051.0,146449.0,145382.0,144342.0,144862.0,147464.0,151340.0,157870.0,164140.0,170645.0,174027.0,174287.0,174287.0,175055.0,175533.0,174735.0,173763.0,176880.0,180832.0,188832.0,197667.0,207300.0,207600.0,197900.0,186567.0,179900.0,176567.0,173233.0,166600.0,169933.0,174967.0,184933.0,191633.0,203267.0,216300.0
394484,80,"Colorado Springs, CO",Msa,CO,479456.0,477642.0,473107.0,469479.0,467629.0,454894.0,438930.0,421914.0,412880.0,409252.0,408164.0,408527.0,415212.0,424246.0,438396.0,446223.0,455293.0,460735.0,471583.0,473434.0,473397.0,467955.0,469733.0,468681.0,466903.0,463818.0,469587.0,478295.0,486858.0,489434.0,493425.0,493425.0,489035.0,478404.0,471402.0,468536.0,468272.0,482739.0,500050.0,519591.0,540494.0,565741.0,582532.0,579385.0,564152.0,558453.0,556967.0,563967.0,572333.0,583663.0,593330.0,599997.0,608330.0,607997.0,592997.0
395235,81,"Winston-Salem, NC",Msa,NC,209900.0,211600.0,213300.0,216633.0,218300.0,222272.0,231972.0,242622.0,250283.0,250250.0,246565.0,244598.0,244632.0,249333.0,256333.0,265000.0,275123.0,281757.0,285057.0,283267.0,283267.0,283267.0,282233.0,278900.0,275597.0,279930.0,284963.0,287632.0,290966.0,296966.0,305933.0,307393.0,304393.0,297660.0,290265.0,283398.0,280132.0,279400.0,280912.0,282065.0,283762.0,286383.0,290330.0,293300.0,296363.0,299930.0,303430.0,304767.0,304882.0,305382.0,313015.0,324400.0,334100.0,336000.0,330833.0
