DEKALB,762009,769405,776792,784184,791571,798967,804766
DODGE,20452,20467,20478,20489,20500,20515,20488
DOOLY,13174,13135,13101,13047,13013,12974,12920
DOUGHERTY,86477,86022,85570,85121,84669,84214,83787
DOUGLAS,147988,149457,150914,152389,153846,155315,156648
EARLY,10037,10066,10094,10132,10160,10189,10199
ECHOLS,4002,4051,4093,4151,4193,4242,4291
EFFINGHAM,65765,66889,68019,69143,70273,71397,72619
ELBERT,19335,19373,19405,19443,19475,19513,19536
EMANUEL,22507,22603,22701,22801,22899,22995,23094
EVANS,10638,10628,10621,10613,10606,10596,10594
FANNIN,26521,26465,26422,26373,26330,26274,26188
FAYETTE,115821,117283,118739,120204,121660,123122,124498
FLOYD,98604,98958,99310,99674,100026,100380,100722
FORSYTH,250847,257891,264936,271984,279029,286073,293594
FRANKLIN,23504,23750,24005,24244,24499,24745,24994
FULTON,1077402,1091486,1105574,1119641,1133729,1147813,1160441
GILMER,31978,32072,32170,32280,32378,32472,32515
GLASCOCK,2984,3005,3033,3041,3069,3090,3104
GLYNN,85568,85799,86030,86272,86503,86734,87157
GORDON,58780,59066,59365,59646,59945,60231,60486
GRADY,24491,24566,24637,24713,24784,24859,24916
GREENE,18837,18978,19126,19255,19403,19544,19635
GWINNETT,942627,954345,966057,977770,989482,1001200,1011901
HABERSHAM,46047,46431,46815,47205,47589,47973,48341
HALL,206591,209308,212019,214745,217456,220173,223305
HANCOCK,8494,8470,8442,8409,8381,8357,8327
HARALSON,30383,30641,30877,31145,31381,31639,31886
HARRIS,36080,36536,37003,37455,37922,38378,38818
HART,26406,26482,26559,26630,26707,26783,26791
HEARD,11973,12022,12069,12130,12177,12226,12301
HENRY,239139,243713,248293,252875,257455,262029,266218
HOUSTON,160110,161396,162690,163973,165267,166553,168109
IRWIN,9387,9411,9437,9462,9488,9512,9528
JACKSON,76199,78184,80152,82136,84104,86089,87925
JASPER,14483,14600,14713,14826,14939,15056,15177
JEFFDAVIS,15213,15288,15360,15442,15514,15589,15630
JEFFERSON,15267,15262,15269,15272,15279,15274,15262
JENKINS,8746,8748,8756,8751,8759,8761,8745
JOHNSON,9667,9685,9703,9718,9736,9754,9754
JONES,28787,28832,28866,28919,28953,28998,29038
LAMAR,19261,19354,19458,19564,19668,19761,19856
LANIER,10737,10868,10997,11124,11253,11384,11497
LAURENS,47512,47700,47894,48064,48258,48446,48569
LEE,30234,30484,30724,30957,31197,31447,31744
LIBERTY,63004,63154,63317,63468,63631,63781,63972
LINCOLN,8031,8017,8004,7989,7976,7962,7930
LONG,20171,20427,20694,20950,21217,21473,21685
LOWNDES,118268,119327,120381,121440,122494,123553,124519
LUMPKIN,34186,34378,34565,34765,34952,35144,35443
MACON,12712,12599,12484,12370,12255,12142,12046
MADISON,30457,30685,30927,31162,31404,31632,31957
MARION,8516,8556,8594,8643,8681,8721,8733
MCDUFFIE,21162,21231,21302,21364,21435,21504,21568
MCINTOSH,14387,14340,14302,14265,14227,14180,14161
MERIWETHER,21164,21067,20974,20893,20800,20703,20644
MILLER,5622,5600,5587,5577,5564,5542,5518
MITCHELL,21602,21515,21409,21319,21213,21126,21024
